thisRow.t,notes,WelcomePage.started,textWelcomeMessage.started,key_resp.started,WelcomePage.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image1_1.started,greencircle1.started,greencircle2.started,greencircle3.started,greencircle4.started,greencircle5.started,greencircle6.started,greencircle7.started,greentriangle.started,image1_1.stopped,image1_2.started,greencircle1_2.started,greencircle2_2.started,greencircle3_2.started,greencircle4_2.started,greencircle5_2.started,greencircle6_2.started,greencircle7_2.started,greentriangle_2.started,image1_2.stopped,image1_3.started,greencircle1_3.started,greencircle2_3.started,greencircle3_3.started,greencircle4_3.started,greencircle5_3.started,greencircle6_3.started,greencircle7_3.started,greentriangle_3.started,image1_3.stopped,image1_4.started,greencircle1_4.started,greencircle2_4.started,greencircle3_4.started,greencircle4_4.started,greencircle5_4.started,greencircle6_4.started,greencircle7_4.started,greentriangle_4.started,image1_4.stopped,image1_5.started,greencircle1_5.started,greencircle2_5.started,greencircle3_5.started,greencircle4_5.started,greencircle5_5.started,greencircle6_5.started,greencircle7_5.started,greentriangle_5.started,image1_5.stopped,image1_6.started,greencircle1_6.started,greencircle2_6.started,greencircle3_6.started,greencircle4_6.started,greencircle5_6.started,greencircle6_6.started,greencircle7_6.started,greentriangle_6.started,image1_6.stopped,image1_7.started,greencircle1_7.started,greencircle2_7.started,greencircle3_7.started,greencircle4_7.started,greencircle5_7.started,greencircle6_7.started,greencircle7_7.started,greentriangle_7.started,image1_7.stopped,image1_8.started,greencircle1_8.started,greencircle2_8.started,greencircle3_8.started,greencircle4_8.started,greencircle5_8.started,greencircle6_8.started,greencircle7_8.started,greentriangle_8.started,image1_8.stopped,image2_1.started,pinkcircle1_9.started,greentriangle2_9.started,greencircle3_9.started,greencircle4_9.started,greencircle5_9.started,greencircle6_9.started,greencircle7_9.started,greencircle8_9.started,pinkcircle1_9.stopped,greentriangle2_9.stopped,greencircle3_9.stopped,greencircle4_9.stopped,greencircle5_9.stopped,greencircle6_9.stopped,greencircle7_9.stopped,greencircle8_9.stopped,image2_1.stopped,image2_2.started,greencircle1_10.started,greencircle2_10.started,greentriangle3_10.started,greencircle4_10.started,greencircle5_10.started,greencircle6_10.started,pinkcircle7_10.started,greencircle8_10.started,greencircle1_10.stopped,greencircle2_10.stopped,greentriangle3_10.stopped,greencircle4_10.stopped,greencircle5_10.stopped,greencircle6_10.stopped,pinkcircle7_10.stopped,greencircle8_10.stopped,image2_2.stopped,image2_3.started,greencircle1_11.started,greencircle2_11.started,greencircle3_11.started,pinkcircle4_11.started,greencircle5_11.started,greentriangle6_11.started,greencircle7_11.started,greencircle8_11.started,greencircle1_11.stopped,greencircle2_11.stopped,greencircle3_11.stopped,pinkcircle4_11.stopped,greencircle5_11.stopped,greentriangle6_11.stopped,greencircle7_11.stopped,greencircle8_11.stopped,image2_3.stopped,image2_4.started,greentriangle1_12.started,greencircle2_12.started,greencircle3_12.started,greencircle4_12.started,pinkcircle5_12.started,greencircle6_12.started,greencircle7_12.started,greencircle8_12.started,greentriangle1_12.stopped,greencircle2_12.stopped,greencircle3_12.stopped,greencircle4_12.stopped,pinkcircle5_12.stopped,greencircle6_12.stopped,greencircle7_12.stopped,greencircle8_12.stopped,image2_4.stopped,image2_5.started,greencircle1_13.started,greencircle2_13.started,greencircle3_13.started,greencircle4_13.started,greentriangle5_13.started,greencircle6_13.started,greencircle7_13.started,pinkcircle8_13.started,greencircle1_13.stopped,greencircle2_13.stopped,greencircle3_13.stopped,greencircle4_13.stopped,greentriangle5_13.stopped,greencircle6_13.stopped,greencircle7_13.stopped,pinkcircle8_13.stopped,image2_5.stopped,image2_6.started,image2_6.stopped,image2_7.started,image2_7.stopped,image2_8.started,image2_8.stopped,image3_1.started,greencircle1_17.started,greencircle2_17.started,greencircle3_17.started,greencircle4_17.started,greencircle5_17.started,greencircle6_17.started,greencircle7_17.started,pinktriangle8_17.started,image3_1.stopped,image3_2.started,greencircle1_18.started,greencircle2_18.started,greencircle3_18.started,greencircle4_18.started,greencircle5_18.started,greencircle6_18.started,greencircle7_18.started,greentriangle_18.started,image3_2.stopped,image3_3.started,greencircle1_19.started,greencircle2_19.started,greencircle3_19.started,greencircle4_19.started,greencircle5_19.started,greencircle6_19.started,greencircle7_19.started,greentriangle_19.started,image3_3.stopped,image3_4.started,greencircle1_20.started,greencircle2_20.started,greencircle3_20.started,greencircle4_20.started,greencircle5_20.started,greencircle6_20.started,greencircle7_20.started,greentriangle_20.started,image3_4.stopped,image3_5.started,greencircle1_21.started,greencircle2_21.started,greencircle3_21.started,greencircle4_21.started,greencircle5_21.started,greencircle6_21.started,greencircle7_21.started,greentriangle_21.started,image3_5.stopped,image3_6.started,greencircle1_22.started,greencircle2_22.started,greencircle3_22.started,greencircle4_22.started,greencircle5_22.started,greencircle6_22.started,greencircle7_22.started,greentriangle8_22.started,image3_6.stopped,image3_7.started,greencircle1_23.started,greencircle2_23.started,greencircle3_23.started,greencircle4_23.started,greencircle5_23.started,greencircle6_23.started,greencircle7_23.started,greentriangle_23.started,image3_7.stopped,image3_8.started,greencircle1_24.started,greencircle2_24.started,greencircle3_24.started,greencircle4_24.started,greencircle5_24.started,greencircle6_24.started,greencircle7_24.started,greentriangle_24.started,image3_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.783760299964342,10.799623899976723,10.799623899976723,10.799623899976723,10.799623899976723,10.799623899976723,10.799623899976723,10.799623899976723,10.799623899976723,11.800236799987033,11.800236799987033,11.800236799987033,11.800236799987033,11.800236799987033,11.800236799987033,11.800236799987033,11.800236799987033,11.785239199991338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.785280000010971,11.800236799987033,11.800236799987033,11.800236799987033,11.800236799987033,11.800236799987033,11.800236799987033,11.800236799987033,11.800236799987033,12.80025149998255,12.80025149998255,12.80025149998255,12.80025149998255,12.80025149998255,12.80025149998255,12.80025149998255,12.80025149998255,12.785077599983197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.785111900011543,12.80025149998255,12.80025149998255,12.80025149998255,12.80025149998255,12.80025149998255,12.80025149998255,12.80025149998255,12.80025149998255,13.799895700009074,13.799895700009074,13.799895700009074,13.799895700009074,13.799895700009074,13.799895700009074,13.799895700009074,13.799895700009074,13.78429059998598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.784321799990721,13.799895700009074,13.799895700009074,13.799895700009074,13.799895700009074,13.799895700009074,13.799895700009074,13.799895700009074,13.799895700009074,14.800249799969606,14.800249799969606,14.800249799969606,14.800249799969606,14.800249799969606,14.800249799969606,14.800249799969606,14.800249799969606,14.784586899972055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.784620099992026,14.785126700007822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.78515419998439,14.785519399971236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.785544999991544,14.785903999989387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.785929800011218,14.800249799969606,14.800249799969606,14.800249799969606,14.800249799969606,14.800249799969606,14.800249799969606,14.800249799969606,14.800249799969606,15.78475409996463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.784801199974027,15.800253900000826,15.800253900000826,15.800253900000826,15.800253900000826,15.800253900000826,15.800253900000826,15.800253900000826,15.800253900000826,16.784600400016643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.78463999996893,16.7998236999847,16.7998236999847,16.7998236999847,16.7998236999847,16.7998236999847,16.7998236999847,16.7998236999847,16.7998236999847,17.784565199981444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.78460879996419,17.800812100002076,17.800812100002076,17.800812100002076,17.800812100002076,17.800812100002076,17.800812100002076,17.800812100002076,17.800812100002076,18.784421899996232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904870,001,2024-05-01_11h39.19.299,searchArrayTrial,2024.1.1,None,2024-05-01 11h39.25.289983 -0400,
